"musicbrainz_id","track_title","channel","webpage_url"
"1bc18d29-a398-45a1-a33e-7a61d83fbe28",Ariana Grande - safety net (official audio) ft. Ty Dolla $ign,Ariana Grande,https://www.youtube.com/watch?v=LBBZeJhteRE
"1c268e92-924e-4481-8c1f-c5885f0f695d",Demi Lovato - Wildfire (Official Audio),Demi Lovato,https://www.youtube.com/watch?v=8kApNZjn750
"1c27df20-c5f9-4c82-a155-8eac7298edab",Lady Gaga - Chromatica III (Official Audio),Lady Gaga,https://www.youtube.com/watch?v=U4VUEdlaxhU
"1c7bd86b-b9b7-46d7-8335-bc4144a37ba3",Camila Cabello - In the Dark (Audio),Camila Cabello,https://www.youtube.com/watch?v=NGPgr8tnWfw
"1c8e1f61-6593-4ce4-a9da-13f0978d8260",AC/DC - Get It Hot (Audio),AC/DC,https://www.youtube.com/watch?v=9FzC5881E4s
"1ca59c67-9cce-487b-a1f4-107de68d8098",ONEWE(원위) '야행성(Regulus)' MV,ONEWE,https://www.youtube.com/watch?v=oqaY9H1VOV8
"1ca6701d-aa25-4aac-8b11-bc1afc48fb33",Not Coming Home,Maroon 5,https://www.youtube.com/watch?v=mJ8kStDAb1Y
"1cb2d6e8-22dc-44f1-b82a-bfe82f18cfde",Frank Ocean - Skyline To,Blonded,https://www.youtube.com/watch?v=CtkUJb22oSQ
"1cdd7971-c330-4222-9999-623b58638ff5",Beautiful Goodbye,Maroon 5,https://www.youtube.com/watch?v=FIaXgKtg0AU
"1d02db34-268e-463f-b029-51b485ba3b68",P.S. I Love You (Remastered 2009),The Beatles,https://www.youtube.com/watch?v=MA5DkiVKSlM
"1d1b8996-4848-4c31-9247-dd9d6ca1c3dd",Harry Styles - Lights Up (Official Audio),Harry Styles,https://www.youtube.com/watch?v=c9ZnV3Mtw2w
"1dcddf66-8eca-4161-9827-54d1e701d6ce",Queen,Shawn Mendes,https://www.youtube.com/watch?v=hXjwr3Hfn60
"1e01a716-13f3-423a-9085-4bfebb0f6465",Maroon 5 - Love Somebody,Maroon 5,https://www.youtube.com/watch?v=MU8B4XDI3Uw
"1e4a1a44-0c60-4333-bcac-f1527c30a559",Drive Slow,Kanye West,https://www.youtube.com/watch?v=Q1ViJEYNki4
"1e4dd7b4-67e4-4301-9a18-56e6f724c782",Madison Beer - I Wonder (Official Lyric Video),Madison Beer,https://www.youtube.com/watch?v=s6IXLjaP1kM
"1e534f7d-e48e-43c9-9620-d0e5d6849f8a",Justin Bieber - No Pressure ft. Big Sean (PURPOSE : The Movement) ft. Big Sean,Justin Bieber,https://www.youtube.com/watch?v=154himd-3ZE
"1e79f696-1018-4cc5-b89d-2e9a03652ab0",Dr. Dre - Lyrical Gangbang [Official Audio],Dr. Dre,https://www.youtube.com/watch?v=SrXO7bGlX30
"1ee21f1d-3b1a-4ffa-8f33-24c01e77455a",SZA - Drew Barrymore (Official Video),SZA,https://www.youtube.com/watch?v=dp45V_M4Akw
"1ef1471c-93f3-47c6-aa34-25e51c930d22",James Joint,Rihanna,https://www.youtube.com/watch?v=EDNaJ1ou71Y
"1f08f3e6-a981-44b1-8dcb-43f67098819c",Miley Cyrus - You (Official Lyric Video),Miley Cyrus,https://www.youtube.com/watch?v=w7Xqzji5p_0
"1f760fba-f3f5-492e-9d2e-eb59d83dc7cd",Taylor Swift - Hey Stephen (Taylor's Version) (Lyric Video),Taylor Swift,https://www.youtube.com/watch?v=tMhiHrL7rPE
"1fbb2b12-a0ab-4ebc-8904-14a1ee8251ab",Beyoncé ft Jack White - Don't Hurt Yourself ( Official Music Video ) Pre Promo,Soul Central TV,https://www.youtube.com/watch?v=10pOVWHrWck
"1fbedf3f-7173-4590-b2bd-4453fc1d814c","50 Cent - God Gave Me Style","50 Cent",https://www.youtube.com/watch?v=FgHrdRUwtfY
"1fd54288-3141-4ff9-910a-5057b36712da",Kacey Musgraves - Merry Go 'Round (Official Music Video),K A C E Y M U S G R A V E S,https://www.youtube.com/watch?v=GZfj2Ir3GgQ
"2019b3ce-8b3e-4512-a876-d4b5bd163984",Taylor Swift - Red (Taylor's Version) (Lyric Video),Taylor Swift,https://www.youtube.com/watch?v=R_rUYuFtNO4
"20405515-3ba4-4a7c-8970-077de685ee0d",Harry Styles - Cinema (Audio),Harry Styles,https://www.youtube.com/watch?v=_ecXNJP-ERY
"218d5999-9efb-49ac-99da-ea1bc2eba8d4",Gone,Kanye West,https://www.youtube.com/watch?v=TwPCaWQIJME
"21d7b206-91a2-4bb4-8fd6-409084364369",Demi Lovato - Give Your Heart a Break (Official Video),Demi Lovato,https://www.youtube.com/watch?v=1zfzka5VwRc
"21d8826e-3dc1-4f56-b3a7-036de07ceed4",Chris Stapleton - Maggie's Song (Official Audio),Chris Stapleton,https://www.youtube.com/watch?v=sQ3J9YnXmUI
"22201fe6-1c33-43ba-ae8b-0da31ffa9213",Beyoncé - DESERT EAGLE (Official Lyric Video),Beyoncé,https://www.youtube.com/watch?v=FpXJR3YYius
"22b7c3ba-e1e4-40ef-bb46-ef52979cec5a",Madison Beer - Stained Glass (Visualizer Video),Madison Beer,https://www.youtube.com/watch?v=dUkSt5XOFLE
"234c6212-36e9-41f6-8244-6f3de779b094",Justin Bieber - Purpose (PURPOSE : The Movement) (Official Music Video),Justin Bieber,https://www.youtube.com/watch?v=Ca1i6DZC3iY
